section,strategy,target,dataset,guard,aspect,prefix,metric,value,n
gj_per_target,2506.02479v2,gemma-3-4b,AdvBench,gptoss_safeguard,strict_gj,target,rate,0.005769,520
gj_per_target,2506.02479v2,gemma-3-4b,AdvBench,gptoss_safeguard,strict_gj,vanilla,rate,0.001923,520
gj_per_target,2506.02479v2,gemma-3-4b,JBB-Behaviors,gptoss_safeguard,strict_gj,target,rate,0.060000,300
gj_per_target,2506.02479v2,gemma-3-4b,JBB-Behaviors,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,300
gj_per_target,2506.02479v2,gemma-3-4b,HarmBench,gptoss_safeguard,strict_gj,target,rate,0.145000,400
gj_per_target,2506.02479v2,gemma-3-4b,HarmBench,gptoss_safeguard,strict_gj,vanilla,rate,0.130000,400
gj_per_target,2506.02479v2,gemma-3-4b,HarmfulQA,gptoss_safeguard,strict_gj,target,rate,0.100000,1960
gj_per_target,2506.02479v2,gemma-3-4b,HarmfulQA,gptoss_safeguard,strict_gj,vanilla,rate,0.001020,1960
gj_per_target,2506.02479v2,gemma-3-4b,ALL,gptoss_safeguard,strict_gj,target,rate,0.096140,4119
gj_per_target,2506.02479v2,gemma-3-4b,ALL,gptoss_safeguard,strict_gj,vanilla,rate,0.013353,4119
coverage,2506.02479v2,qwen-2.5-7b,ALL,gptoss_safeguard,target,target,items,4119,
coverage,2506.02479v2,qwen-2.5-7b,ALL,gptoss_safeguard,target,target,complete,4119,
coverage,2506.02479v2,qwen-2.5-7b,ALL,gptoss_safeguard,target,target,unknown,27,
coverage,2506.02479v2,qwen-2.5-7b,ALL,gptoss_safeguard,vanilla,vanilla,complete,4119,
gj_per_target,2506.02479v2,qwen-2.5-7b,do-not-answer,gptoss_safeguard,strict_gj,target,rate,0.087327,939
gj_per_target,2506.02479v2,qwen-2.5-7b,do-not-answer,gptoss_safeguard,strict_gj,vanilla,rate,0.001065,939
gj_per_target,2506.02479v2,qwen-2.5-7b,AdvBench,gptoss_safeguard,strict_gj,target,rate,0.005769,520
gj_per_target,2506.02479v2,qwen-2.5-7b,AdvBench,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,520
gj_per_target,2506.02479v2,qwen-2.5-7b,JBB-Behaviors,gptoss_safeguard,strict_gj,target,rate,0.036667,300
gj_per_target,2506.02479v2,qwen-2.5-7b,JBB-Behaviors,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,300
gj_per_target,2506.02479v2,qwen-2.5-7b,HarmBench,gptoss_safeguard,strict_gj,target,rate,0.142500,400
gj_per_target,2506.02479v2,qwen-2.5-7b,HarmBench,gptoss_safeguard,strict_gj,vanilla,rate,0.150000,400
